IID,inferred_pop
100954520103_R03C01,SAS
100954520103_R03C02,SAS
100954520103_R04C01,SAS
100954520103_R04C02,EUR
100954520103_R05C01,EUR
100954520103_R05C02,EUR
100954520103_R06C01,EUR
100954520103_R06C02,EUR
100954520105_R01C01,EUR
100954520105_R01C02,AFR
100954520105_R02C01,EUR
100954520105_R02C02,EUR
100954520105_R03C01,EUR
100954520105_R03C02,EAS
100954520105_R06C01,EUR
100954520107_R01C01,EUR
100954520107_R02C01,EAS
100954520141_R01C01,EAS
100954520141_R02C01,EUR
100954520141_R03C01,EUR
100954520141_R04C01,EUR
100954520141_R05C01,EUR
100954520141_R05C02,SAS
100954520148_R01C01,EUR
100954520148_R01C02,AMR
100954520148_R02C01,EUR
100954520148_R02C02,EUR
100954520148_R06C01,AMR
100973280003_R01C01,EUR
100973280003_R01C02,EUR
100973280003_R02C02,EUR
100973280003_R04C01,EUR
100973280003_R05C01,EUR
100973280003_R06C01,SAS
100973280022_R01C01,EUR
100973280022_R02C01,EUR
100973280022_R03C01,EUR
100973280022_R03C02,EUR
100973280022_R04C01,EUR
100973280022_R04C02,EUR
100973280022_R05C02,EUR
100973280022_R06C02,EUR
100973280026_R01C01,EUR
100973280026_R02C01,EUR
100973280026_R03C01,EUR
100973280026_R04C01,EUR
100973280068_R01C01,SAS
100973280068_R01C02,EUR
100973280068_R02C01,SAS
100973280068_R03C01,EUR
100973280068_R03C02,EUR
100973280068_R04C01,AMR
100973280068_R05C01,EAS
100973280068_R05C02,EUR
